baker_name,baker,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Holly Bell,Holly,31,Advertising executive,Leicester,2,2,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,4,IN
Holly Bell,Holly,31,Advertising executive,Leicester,2,3,Picnic Loaf,Stilton and Walnut Rolls,6,IN
Holly Bell,Holly,31,Advertising executive,Leicester,2,4,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",3,STAR BAKER
Holly Bell,Holly,31,Advertising executive,Leicester,2,5,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,4,IN
Holly Bell,Holly,31,Advertising executive,Leicester,2,6,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,3,IN
Holly Bell,Holly,31,Advertising executive,Leicester,2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",1,IN
Holly Bell,Holly,31,Advertising executive,Leicester,2,8,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,2,Runner-up
Howard Middleton,Howard,51,Council Worker,Sheffield,4,1,Passion Fruit and Coconut Cake,Black Forest Revisited,6,IN
Howard Middleton,Howard,51,Council Worker,Sheffield,4,2,Moroccan Breadsticks,Picasso Sun Bread,10,IN
Howard Middleton,Howard,51,Council Worker,Sheffield,4,3,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,7,IN
Howard Middleton,Howard,51,Council Worker,Sheffield,4,4,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,5,IN
Howard Middleton,Howard,51,Council Worker,Sheffield,4,5,Breakfast Traybake,Japanese Pagoda Tea Tower,8,IN
Howard Middleton,Howard,51,Council Worker,Sheffield,4,6,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,7,OUT
Iain Watters,Iain,31,Construction Engineer,London/Belfast,5,1,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4,IN
Iain Watters,Iain,31,Construction Engineer,London/Belfast,5,2,Za'atar and Fig Biscuits,Wild West Scene,11,IN
Iain Watters,Iain,31,Construction Engineer,London/Belfast,5,3,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,9,IN
Iain Watters,Iain,31,Construction Engineer,London/Belfast,5,4,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,OUT
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,1,Somewhere West of Madeira Cake,Black Forest Cherry Tree,8,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,2,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,3,STAR BAKER
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,3,Wild Garlic Pesto Soda Breads,Flour Power,1,STAR BAKER
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,4,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,4,STAR BAKER
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,5,Honey and Flowers Cake,Dessert Island,5,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,6,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,3,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,7,Roadkill Pie,Victoria's Crown Charlotte Russe,5,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,8,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,2,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,9,Chocolate and Bay Tart,Chocolate Well,3,IN
Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,10,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,2,Runner-up
Ian Vallance,Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,1,Apple and Cinnamon Cupcakes,UNKNOWN,10,IN
Ian Vallance,Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,2,IN
Ian Vallance,Ian,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,3,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,10,OUT
Imelda McCarron,Imelda,33,Countryside recreation officer,County Tyrone,9,NA,NA,NA,NA,NA
James Hillery,James,46,Banker,"Brentwood, Essex",8,1,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,2,IN
James Hillery,James,46,Banker,"Brentwood, Essex",8,2,Rhubarb and Custard Whirls,'Coppit' Game,3,IN
James Hillery,James,46,Banker,"Brentwood, Essex",8,3,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,9,IN
James Hillery,James,46,Banker,"Brentwood, Essex",8,4,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,2,IN
James Hillery,James,46,Banker,"Brentwood, Essex",8,5,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,OUT
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,1,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",2,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",2,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,3,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",1,STAR BAKER
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,4,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",5,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,5,Four Pig Wellington,Sweet Potato Pie,6,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,6,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",7,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,7,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,1,IN
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,8,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,1,STAR BAKER
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,STAR BAKER
James Morton,James,21,Medical student,"Hillswick, Shetland Islands",3,10,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,1,Runner-up
Jamie Finn,Jamie,20,Part-time waiter,Surrey,10,NA,NA,NA,NA,NA
Jane Beedle,Jane,61,Garden designer,Beckenham,7,1,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,7,STAR BAKER
Jane Beedle,Jane,61,Garden designer,Beckenham,7,2,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,2,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,3,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,9,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,4,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,3,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,6,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,4,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,7,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,8,Tudor Rose Pies,Swans,5,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,1,IN
Jane Beedle,Jane,61,Garden designer,Beckenham,7,10,"Red, White and Blue Meringue Crown",Family Favourites Feast,3,Runner-up
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,1,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,8,IN
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,2,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,8,IN
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,3,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,8,IN
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,4,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",4,IN
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,5,Chicken and Chestnut Pie,Rhubarb Meringue Pie,1,STAR BAKER
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,6,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,5,IN
Janet Basu,Janet,63,Teacher of Modern Languages,"Formby, Liverpool",2,7,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,4,OUT
Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,NA,IN
Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,1,2,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,IN
Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,1,3,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5,IN
Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,1,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2,IN
Jasminder Randhawa,Jasminder,45,Assistant Credit Control Manager,Birmingham,1,5,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",4,OUT
Jason White,Jason,19,Civil Engineering Student,Croydon,2,1,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,6,IN
Jason White,Jason,19,Civil Engineering Student,Croydon,2,2,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,3,STAR BAKER
Jason White,Jason,19,Civil Engineering Student,Croydon,2,3,Cheese and Onion Tear and Share Loaf,UNKNOWN,7,IN
Jason White,Jason,19,Civil Engineering Student,Croydon,2,4,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",1,STAR BAKER
Jason White,Jason,19,Civil Engineering Student,Croydon,2,5,Brown Down Chicken Pie,Plum Meringue Pie,7,OUT
Jo Wheatley,Jo,41,Housewife,"Ongar, Essex",2,NA,NA,NA,NA,NA
John Whaite,John,22,Law student,Wigan,3,1,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,11,IN
John Whaite,John,22,Law student,Wigan,3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",1,STAR BAKER
John Whaite,John,22,Law student,Wigan,3,3,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",6,IN
John Whaite,John,22,Law student,Wigan,3,4,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,6,IN
John Whaite,John,22,Law student,Wigan,3,5,Venison and Haggis Wellington,Star-Spangled Pecan Pie,2,IN
John Whaite,John,22,Law student,Wigan,3,6,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,5,IN
John Whaite,John,22,Law student,Wigan,3,7,Cherry and Almond Saffron Buns,Marzipan Stollen,3,IN
John Whaite,John,22,Law student,Wigan,3,8,Asian Spice Crackers,Gingerbread Roman Coliseum,3,IN
John Whaite,John,22,Law student,Wigan,3,9,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,2,IN
John Whaite,John,22,Law student,Wigan,3,10,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,2,WINNER
Jon Jenkins,Jon,47,Blood courier,Newport,9,NA,NA,NA,NA,NA
Jonathan Shepherd,Jonathan,25,Research Analyst,St Albans,1,1,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN
Jonathan Shepherd,Jonathan,25,Research Analyst,St Albans,1,2,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN
Jonathan Shepherd,Jonathan,25,Research Analyst,St Albans,1,3,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6,OUT
Jordan Cox,Jordan,32,IT Manager,"Sneinton, Nottingham",5,1,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,12,IN
Jordan Cox,Jordan,32,IT Manager,"Sneinton, Nottingham",5,2,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,6,IN
Jordan Cox,Jordan,32,IT Manager,"Sneinton, Nottingham",5,3,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,10,OUT
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,1,Courgette and Lemon Cake,'Russian Doll' Cake,3,IN
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,2,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,4,IN
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,3,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,2,STAR BAKER
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,4,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,9,IN
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,5,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,IN
Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",8,6,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,OUT
Karen Wright,Karen,60,In-store sampling assistant,Wakefield,9,NA,NA,NA,NA,NA
Kate Barmby,Kate,37,Nurse,"Brooke, Norfolk",7,1,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,4,IN
Kate Barmby,Kate,37,Nurse,"Brooke, Norfolk",7,2,"""A Biscuit for the Broads""","""I Promise I will do my best""",1,IN
Kate Barmby,Kate,37,Nurse,"Brooke, Norfolk",7,3,Cobbled Loaf,The Corn Maiden,8,IN
Kate Barmby,Kate,37,Nurse,"Brooke, Norfolk",7,4,Christmas Dinner Compromise,Hot Cross Bunny Churros,7,OUT
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,1,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,6,IN
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,2,Parmesan and Apple Biscuits,Tea Time,4,IN
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,3,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",1,IN
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,4,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",7,IN
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,5,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",3,STAR BAKER
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,6,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,6,IN
Kate Henry,Kate,41,Furniture Restorer,"Brighton, East Sussex",5,7,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,4,OUT
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,1,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,1,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,2,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,8,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,3,Blueberry Buns,'Kraken' Bread Sculpture,10,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,4,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,5,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,6,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,7,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,8,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,9,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,IN
Kate Lyon,Kate,29,Health and safety inspector,Merseyside,8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,Runner-up
Keith Batsford,Keith,31,House husband,"Arlesey, Bedfordshire",2,1,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,12,OUT
Kim-Joy Hewlett,Kim-Joy,27,Mental health specialist,Leeds,9,NA,NA,NA,NA,NA
Kimberley Wilson,Kimberley,30,Psychologist,London,4,1,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",10,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,2,Nigella Seed and Parmesan Breadsticks,Peace Bread,1,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,3,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,6,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,4,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",4,STAR BAKER
Kimberley Wilson,Kimberley,30,Psychologist,London,4,5,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,7,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,6,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,3,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,7,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,8,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,2,IN
Kimberley Wilson,Kimberley,30,Psychologist,London,4,9,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,1,STAR BAKER
Kimberley Wilson,Kimberley,30,Psychologist,London,4,10,Chicken and Pig Pie,Languages of Love Wedding Cake,1,Runner-up
Lea Harris,Lea,51,Retired,"Midlothian, Scotland",1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,OUT
Lee Banfield,Lee,67,Pastor,Bolton,7,1,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,11,OUT
Liam Charles,Liam,19,Student,North London,8,1,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,8,IN
Liam Charles,Liam,19,Student,North London,8,2,Coffee Malted Pecan Shorties,'Classroom Classics' Game,7,IN
Liam Charles,Liam,19,Student,North London,8,3,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,5,IN
Liam Charles,Liam,19,Student,North London,8,4,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,IN
Liam Charles,Liam,19,Student,North London,8,5,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,IN
Liam Charles,Liam,19,Student,North London,8,6,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER
Liam Charles,Liam,19,Student,North London,8,7,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,IN
Liam Charles,Liam,19,Student,North London,8,8,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,OUT
Louise Brimelow,Louise,44,Police Officer,Manchester,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN
Louise Brimelow,Louise,44,Police Officer,Manchester,1,2,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT
Louise Williams,Louise,46,Hairdresser,Cardiff,7,1,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,9,IN
Louise Williams,Louise,46,Hairdresser,Cardiff,7,2,Baa Bara Brith Biscuits,Gingerbread Wedding,10,OUT
Lucy Bellamy,Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,1,Timperley Early Cake,Thyme 'Wildwood' Cake,2,IN
Lucy Bellamy,Lucy,38,Horticulturist,"Grimsby, Lincolnshire",4,2,Grissini with Salt,Roast Tomato Bread,12,OUT
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,1,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,7,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,2,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,3,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,3,Opposites Attract Rolls,Roscón de Reyes,2,STAR BAKER
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,4,Pears in Puddings,Bakewell Alaska,2,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,5,Tropical Manchester Tart,Four Fruity Seasons Tower,6,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,6,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,3,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,7,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",5,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,8,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",2,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,9,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",1,IN
Luis Troyano,Luis,42,Graphic Designer,"Poynton, Cheshire",5,10,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,2,Runner-up
Luke Thompson,Luke,30,Civil servant/house and techno DJ,Sheffield,9,NA,NA,NA,NA,NA
Manisha Parmar,Manisha,27,Nursery nurse,Leicester,3,1,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,6,IN
Manisha Parmar,Manisha,27,Nursery nurse,Leicester,3,2,Indian FlatbreadsItalian Flatbreads,UNKNOWN,6,IN
Manisha Parmar,Manisha,27,Nursery nurse,Leicester,3,3,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,10,IN
Manisha Parmar,Manisha,27,Nursery nurse,Leicester,3,4,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,9,IN
Manisha Parmar,Manisha,27,Nursery nurse,Leicester,3,5,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,5,OUT
Manon Lagrave,Manon,26,Software project manager,London,9,NA,NA,NA,NA,NA
Marie Campbell,Marie,66,Retired,"Auchterarder, Perthshire",6,1,Zingy Citrus Madeira Cake,A Walk in the Black Forest,3,STAR BAKER
Marie Campbell,Marie,66,Retired,"Auchterarder, Perthshire",6,2,Biscotti Italiano,Russian Box,11,OUT
Mark Onley,Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,1,Lemon and Poppy Seed Cake,Chocolate Monster,5,IN
Mark Onley,Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,2,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,6,IN
Mark Onley,Mark,37,Carpenter and Kitchen Fitter,Milton Keynes,4,3,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,11,OUT
Mark Whithers,Mark,48,Bus Driver,South Wales,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,1,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,2,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,2,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,5,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,3,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,3,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,4,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,1,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,5,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,1,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,6,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,4,IN
Martha Collison,Martha,17,Student,"Ascot, Berkshire",5,7,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,3,IN
